"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/14/2025","5/14/2025","5/15/2025","SPY","SPY 6/27/2025 Put $550.00","STO","1","$3.75","$374.95"
"5/14/2025","5/14/2025","5/15/2025","SPY","SPY 6/27/2025 Call $625.00","BTO","1","$1.25","($125.04)"
"5/14/2025","5/14/2025","5/15/2025","SPY","SPY 6/27/2025 Put $545.00","BTO","1","$3.26","($326.04)"
"5/14/2025","5/14/2025","5/15/2025","GOOGL","GOOGL 6/27/2025 Put $140.00","BTO","1","$0.75","($75.04)"
"5/14/2025","5/14/2025","5/15/2025","GOOGL","GOOGL 6/27/2025 Put $150.00","STO","1","$1.96","$195.95"
"5/13/2025","5/13/2025","5/14/2025","AAPL","AAPL 6/27/2025 Put $185.00","BTO","1","$1.31","($131.04)"
"5/13/2025","5/13/2025","5/14/2025","AAPL","AAPL 6/27/2025 Put $195.00","STO","1","$2.55","$254.94"
"5/12/2025","5/12/2025","5/13/2025","AAPL","AAPL 6/20/2025 Put $165.00","STC","1","$0.40","$39.94"
"5/12/2025","5/12/2025","5/13/2025","AAPL","AAPL 6/20/2025 Put $175.00","BTC","1","$0.72","($72.04)"
"5/12/2025","5/12/2025","5/13/2025","AAPL","AAPL 6/20/2025 Put $195.00","STC","1","$2.81","$280.94"
"5/12/2025","5/12/2025","5/13/2025","AAPL","AAPL 6/20/2025 Call $195.00","STC","1","$17.10","$1,709.90"
"5/7/2025","5/7/2025","5/8/2025","AAPL","AAPL 6/20/2025 Put $175.00","STO","1","$2.34","$233.94"
"5/7/2025","5/7/2025","5/8/2025","AAPL","AAPL 6/20/2025 Put $165.00","BTO","1","$1.31","($131.04)"
"5/6/2025","5/6/2025","5/7/2025","AAPL","AAPL 6/20/2025 Call $195.00","BTO","1","$11.25","($1,125.04)"
"5/6/2025","5/6/2025","5/7/2025","AAPL","AAPL 6/20/2025 Put $195.00","BTO","1","$7.10","($710.04)"
"5/2/2025","5/2/2025","5/5/2025","CMG","CMG 5/30/2025 Put $48.00","BTC","1","$0.70","($70.04)"
"5/1/2025","5/1/2025","5/2/2025","AAPL","AAPL 6/13/2025 Put $200.00","STO","5","$4.97","$2,484.70"
"5/1/2025","5/1/2025","5/2/2025","AAPL","AAPL 6/13/2025 Put $195.00","BTO","5","$3.84","($1,920.22)"
"5/1/2025","5/1/2025","5/2/2025","SPY","SPY 5/30/2025 Call $580.00","BTC","1","$5.77","($577.04)"
"5/1/2025","5/1/2025","5/2/2025","SPY","SPY 5/30/2025 Call $590.00","STC","1","$2.69","$268.94"
"5/1/2025","5/1/2025","5/2/2025","SPY","SPY 5/30/2025 Call $590.00","STC","1","$2.59","$258.94"
"5/1/2025","5/1/2025","5/2/2025","SPY","SPY 5/30/2025 Call $580.00","BTC","1","$5.60","($560.04)"
"5/1/2025","5/1/2025","5/2/2025","SPY","SPY 5/30/2025 Call $590.00","STC","1","$2.41","$240.94"
"5/1/2025","5/1/2025","5/2/2025","SPY","SPY 5/30/2025 Call $580.00","BTC","1","$5.31","($531.04)"
"4/30/2025","4/30/2025","4/30/2025","","Interest Payment","INT","","","$8.94"
"4/30/2025","4/30/2025","5/1/2025","CMG","CMG 5/30/2025 Put $48.00","STO","1","$1.07","$106.94"
"4/30/2025","4/30/2025","4/30/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"4/30/2025","4/30/2025","5/1/2025","BAC","BAC 9/19/2025 Put $35.00","BTC","1","$1.37","($137.04)"
"4/30/2025","4/30/2025","5/1/2025","SOFI","SOFI 6/18/2026 Put $10.00","BTC","1","$1.78","($178.04)"
"4/24/2025","4/24/2025","4/25/2025","SOFI","SOFI 5/16/2025 Put $11.00","BTC","1","$0.50","($50.04)"
"4/24/2025","4/24/2025","4/25/2025","META","META 5/23/2025 Put $430.00","STC","1","$4.12","$411.93"
"4/24/2025","4/24/2025","4/25/2025","META","META 5/23/2025 Put $440.00","BTC","1","$5.11","($511.04)"
"4/24/2025","4/24/2025","4/25/2025","SOFI","SOFI 9/19/2025 Put $10.00","BTC","1","$0.98","($98.04)"
"4/24/2025","4/24/2025","4/25/2025","SPY","SPY 5/30/2025 Call $580.00","STO","3","$2.34","$701.84"
"4/24/2025","4/24/2025","4/25/2025","SPY","SPY 5/30/2025 Call $590.00","BTO","3","$1.11","($333.13)"
"4/17/2025","4/17/2025","4/21/2025","SOFI","Option Expiration for SOFI 4/17/2025 Put $10.50","OEXP","3","",""
"4/17/2025","4/17/2025","4/21/2025","SOFI","SOFI 4/17/2025 Put $10.50","STO","3","$0.05","$14.85"
"4/17/2025","4/17/2025","4/17/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/16/2025","4/16/2025","4/17/2025","META","META 5/23/2025 Put $440.00","STO","1","$11.20","$1,119.91"
"4/16/2025","4/16/2025","4/17/2025","META","META 5/23/2025 Put $430.00","BTO","1","$9.45","($945.04)"
"4/11/2025","4/11/2025","4/14/2025","SOFI","Option Expiration for SOFI 4/11/2025 Put $10.50","OEXP","4","",""
"4/11/2025","4/11/2025","4/14/2025","SOFI","SOFI 9/19/2025 Put $9.00","BTC","1","$1.24","($124.04)"
"4/11/2025","4/11/2025","4/14/2025","SOFI","SOFI 9/19/2025 Put $10.00","STO","1","$1.67","$166.94"
"4/10/2025","4/10/2025","4/11/2025","SOFI","SOFI 4/11/2025 Put $10.50","STO","4","$0.24","$95.81"
"4/10/2025","4/10/2025","4/11/2025","SOFI","SOFI 7/18/2025 Put $12.00","BTC","1","$2.32","($232.04)"
"4/9/2025","4/9/2025","4/10/2025","SOFI","SOFI 7/18/2025 Put $12.00","STO","1","$3.04","$303.94"
"4/9/2025","4/9/2025","4/10/2025","SOFI","SOFI 5/2/2025 Put $12.00","BTC","1","$2.64","($264.04)"
"4/9/2025","4/9/2025","4/10/2025","QQQ","QQQ 4/11/2025 Call $455.00","BTC","1","$1.17","($117.04)"
"4/9/2025","4/9/2025","4/10/2025","QQQ","QQQ 4/11/2025 Call $460.00","STC","1","$0.73","$72.94"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $455.00","BTC","1","$0.70","($70.04)"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $460.00","STC","1","$0.43","$42.94"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $460.00","STC","1","$0.46","$45.94"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $455.00","BTC","1","$0.78","($78.04)"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $455.00","BTC","1","$0.78","($78.04)"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $460.00","STC","1","$0.46","$45.94"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $460.00","STC","1","$0.45","$44.94"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $455.00","BTC","1","$0.77","($77.04)"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $460.00","STC","1","$0.45","$44.94"
"4/8/2025","4/8/2025","4/9/2025","QQQ","QQQ 4/11/2025 Call $455.00","BTC","1","$0.77","($77.04)"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $460.00","BTO","2","$1.65","($330.08)"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $455.00","STO","4","$2.46","$983.79"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $455.00","STO","2","$2.46","$491.89"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $460.00","BTO","4","$1.65","($660.17)"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $430.00","BTC","8","$15.18","($12,144.35)"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $435.00","STC","8","$12.20","$9,759.35"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $430.00","STO","8","$5.13","$4,103.51"
"4/7/2025","4/7/2025","4/8/2025","QQQ","QQQ 4/11/2025 Call $435.00","BTO","8","$3.78","($3,024.35)"
"4/7/2025","4/7/2025","4/8/2025","","ACH Deposit","ACH","","","$3,000.00"
"4/4/2025","4/4/2025","4/7/2025","NVDA","NVDA 5/2/2025 Put $90.00","STC","1","$3.55","$354.94"
"4/4/2025","4/4/2025","4/7/2025","NVDA","NVDA 5/2/2025 Put $100.00","BTC","1","$7.55","($755.04)"
"4/4/2025","4/4/2025","4/7/2025","META","META 5/2/2025 Put $495.00","BTC","1","$27.40","($2,740.04)"
"4/4/2025","4/4/2025","4/7/2025","META","META 5/2/2025 Put $485.00","STC","1","$23.30","$2,329.88"
"4/3/2025","4/3/2025","4/4/2025","SOFI","SOFI 9/19/2025 Put $9.00","STO","1","$1.10","$109.94"
"4/1/2025","4/1/2025","4/2/2025","BAC","BAC 9/19/2025 Put $35.00","STO","1","$1.11","$110.94"
"4/1/2025","4/1/2025","4/2/2025","SOFI","SOFI 6/18/2026 Put $10.00","STO","1","$2.03","$202.94"
"3/31/2025","3/31/2025","3/31/2025","","Interest Payment","INT","","","$1.89"
"3/31/2025","3/31/2025","3/31/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"3/31/2025","3/31/2025","4/1/2025","MSFT","MSFT 12/19/2025 Call $380.00","STC","1","$32.00","$3,199.86"
"3/31/2025","3/31/2025","4/1/2025","GOOGL","GOOGL 1/16/2026 Call $165.00","STC","1","$13.60","$1,359.91"
"3/31/2025","3/31/2025","4/1/2025","SOFI","SOFI 5/16/2025 Put $11.00","STO","1","$1.04","$103.94"
"3/28/2025","3/28/2025","3/31/2025","META","META 5/2/2025 Put $485.00","BTO","1","$5.96","($596.04)"
"3/28/2025","3/28/2025","3/31/2025","META","META 5/2/2025 Put $495.00","STO","1","$7.30","$729.92"
"3/28/2025","3/28/2025","3/31/2025","GOOGL","GOOGL 1/16/2026 Call $165.00","BTO","1","$15.35","($1,535.04)"
"3/28/2025","3/28/2025","3/31/2025","GOOGL","GOOGL 3/20/2026 Call $165.00","STC","1","$17.55","$1,754.90"
"3/28/2025","3/28/2025","3/31/2025","MSFT","MSFT 3/20/2026 Call $380.00","STC","1","$45.22","$4,521.82"
"3/28/2025","3/28/2025","3/31/2025","MSFT","MSFT 12/19/2025 Call $380.00","BTO","1","$38.42","($3,842.04)"
"3/28/2025","3/28/2025","3/31/2025","AMZN","AMZN 5/2/2025 Call $240.00","STC","1","$0.24","$23.94"
"3/28/2025","3/28/2025","3/31/2025","AMZN","AMZN 5/2/2025 Call $230.00","BTC","1","$0.57","($57.04)"
"3/27/2025","3/27/2025","3/28/2025","NVDA","NVDA 5/2/2025 Put $100.00","STO","1","$1.98","$197.94"
"3/27/2025","3/27/2025","3/28/2025","NVDA","NVDA 5/2/2025 Put $90.00","BTO","1","$0.73","($73.04)"
"3/27/2025","3/27/2025","3/28/2025","QQQ","QQQ 5/2/2025 Call $535.00","STC","1","$0.34","$33.94"
"3/27/2025","3/27/2025","3/28/2025","QQQ","QQQ 5/2/2025 Call $525.00","BTC","1","$0.79","($79.04)"
"3/26/2025","3/26/2025","3/26/2025","","Interest Payment","INT","","","$3.23"
"3/25/2025","3/25/2025","3/26/2025","GOOGL","GOOGL 4/25/2025 Call $175.00","BTC","1","$3.40","($340.04)"
"3/24/2025","3/24/2025","3/25/2025","QQQ","QQQ 5/2/2025 Put $440.00","BTC","1","$2.06","($206.04)"
"3/24/2025","3/24/2025","3/25/2025","QQQ","QQQ 5/2/2025 Put $435.00","STC","1","$1.73","$172.94"
"3/24/2025","3/24/2025","3/25/2025","QQQ","QQQ 5/2/2025 Call $535.00","BTO","1","$0.78","($78.04)"
"3/24/2025","3/24/2025","3/25/2025","QQQ","QQQ 5/2/2025 Call $525.00","STO","1","$1.73","$172.94"
"3/24/2025","3/24/2025","3/25/2025","AMZN","AMZN 5/2/2025 Call $230.00","STO","1","$1.52","$151.94"
"3/24/2025","3/24/2025","3/25/2025","AMZN","AMZN 5/2/2025 Call $240.00","BTO","1","$0.72","($72.04)"
"3/24/2025","3/24/2025","3/25/2025","AMZN","AMZN 5/2/2025 Put $175.00","BTC","1","$1.53","($153.04)"
"3/24/2025","3/24/2025","3/25/2025","AMZN","AMZN 5/2/2025 Put $170.00","STC","1","$1.08","$107.94"
"3/21/2025","3/21/2025","3/24/2025","SOFI","SOFI 5/2/2025 Put $12.00","STO","1","$0.86","$85.94"
"3/21/2025","3/21/2025","3/24/2025","MSFT","MSFT 4/25/2025 Call $405.00","BTC","1","$3.80","($380.04)"
"3/19/2025","3/19/2025","3/20/2025","SOFI","SOFI 3/21/2025 Put $13.00","BTC","2","$0.44","($88.08)"
"3/19/2025","3/19/2025","3/20/2025","QQQ","QQQ 5/2/2025 Put $440.00","STO","1","$4.18","$417.93"
"3/19/2025","3/19/2025","3/20/2025","QQQ","QQQ 5/2/2025 Put $435.00","BTO","1","$3.55","($355.04)"
"3/18/2025","3/18/2025","3/19/2025","AMZN","AMZN 5/2/2025 Put $170.00","BTO","1","$3.30","($330.04)"
"3/18/2025","3/18/2025","3/19/2025","AMZN","AMZN 5/2/2025 Put $175.00","STO","1","$4.35","$434.93"
"3/18/2025","3/18/2025","3/19/2025","GOOGL","GOOGL 4/25/2025 Call $175.00","STO","1","$1.65","$164.94"
"3/18/2025","3/18/2025","3/19/2025","MSFT","MSFT 4/25/2025 Call $405.00","STO","1","$4.75","$474.93"
"3/18/2025","3/18/2025","3/18/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"3/17/2025","3/17/2025","3/18/2025","MSFT","MSFT 3/21/2025 Call $400.00","BTC","1","$1.07","($107.04)"
"3/17/2025","3/17/2025","3/18/2025","AAPL","AAPL 5/16/2025 Put $200.00","STC","1","$5.25","$524.93"
"3/14/2025","3/14/2025","3/17/2025","AAPL","AAPL 5/16/2025 Put $200.00","BTO","1","$6.22","($622.04)"
"3/14/2025","3/14/2025","3/17/2025","AAPL","AAPL 4/17/2025 Put $210.00","STC","1","$7.02","$701.93"
"3/14/2025","3/14/2025","3/17/2025","MSFT","MSFT 3/21/2025 Call $400.00","STO","1","$1.12","$111.94"
"3/13/2025","3/13/2025","3/14/2025","MSFT","MSFT 3/20/2026 Call $380.00","BTO","1","$49.45","($4,945.04)"
"3/13/2025","3/13/2025","3/14/2025","MSFT","MSFT 1/16/2026 Call $385.00","STC","1","$42.00","$4,199.83"
"3/13/2025","3/13/2025","3/14/2025","GOOGL","GOOGL 1/16/2026 Call $175.00","STC","1","$16.22","$1,621.90"
"3/13/2025","3/13/2025","3/14/2025","GOOGL","GOOGL 3/20/2026 Call $165.00","BTO","1","$23.27","($2,327.04)"
"3/12/2025","3/12/2025","3/13/2025","META","META 4/17/2025 Put $530.00","STC","1","$7.42","$741.92"
"3/12/2025","3/12/2025","3/13/2025","META","META 4/17/2025 Put $540.00","BTC","1","$8.95","($895.04)"
"3/12/2025","3/12/2025","3/13/2025","QQQ","QQQ 3/21/2025 Put $455.00","BTC","2","$4.23","($846.08)"
"3/12/2025","3/12/2025","3/13/2025","QQQ","QQQ 3/21/2025 Put $450.00","STC","2","$3.20","$639.89"
"3/7/2025","3/7/2025","3/10/2025","META","META 4/17/2025 Put $530.00","BTO","1","$6.61","($661.04)"
"3/7/2025","3/7/2025","3/10/2025","META","META 4/17/2025 Put $540.00","STO","1","$8.00","$799.92"
"3/6/2025","3/6/2025","3/7/2025","QQQ","QQQ 3/21/2025 Put $450.00","BTO","1","$2.44","($244.04)"
"3/6/2025","3/6/2025","3/7/2025","QQQ","QQQ 3/21/2025 Put $455.00","STO","1","$3.01","$300.94"
"3/6/2025","3/6/2025","3/7/2025","QQQ","QQQ 3/21/2025 Put $455.00","STO","1","$2.10","$209.94"
"3/6/2025","3/6/2025","3/7/2025","QQQ","QQQ 3/21/2025 Put $450.00","BTO","1","$1.69","($169.04)"
"3/5/2025","3/5/2025","3/6/2025","SOFI","SOFI 3/21/2025 Put $13.00","STO","2","$0.77","$153.90"
